timestamp,x,y,z,w
1517145457108034,0.128235,-0.114746,0.974365,-0.144592
1517145457116024,0.12854,-0.114929,0.974304,-0.144592
1517145457138000,0.128662,-0.115112,0.974304,-0.144592
1517145457160016,0.128662,-0.115112,0.974304,-0.144592
1517145457175030,0.128723,-0.115051,0.974304,-0.144592
1517145457198045,0.128784,-0.115051,0.974304,-0.144592
1517145457226082,0.128784,-0.115051,0.974304,-0.144592
1517145457234112,0.128845,-0.11499,0.974304,-0.144531
1517145457258087,0.128906,-0.11499,0.974304,-0.144531
1517145457280102,0.128906,-0.11499,0.974304,-0.144531
1517145457294112,0.129211,-0.11499,0.974243,-0.144653
1517145457317129,0.129578,-0.114868,0.974182,-0.144775
1517145457340147,0.130005,-0.114807,0.97406,-0.14502
1517145457354154,0.130432,-0.114746,0.973999,-0.145264
1517145457377170,0.130981,-0.114563,0.973938,-0.145447
1517145457400211,0.131409,-0.114441,0.973877,-0.145569
1517145457414197,0.131714,-0.114319,0.973816,-0.14563
1517145457437237,0.131775,-0.114258,0.973816,-0.14563
1517145457460231,0.131775,-0.114258,0.973816,-0.145569
1517145457481298,0.131836,-0.114258,0.973816,-0.145569
1517145457497272,0.131836,-0.114258,0.973816,-0.145569
1517145457520285,0.131897,-0.114197,0.973816,-0.145569
1517145457541341,0.131958,-0.114258,0.973816,-0.145569
1517145457557298,0.132019,-0.114258,0.973816,-0.145569
1517145457580314,0.13208,-0.114258,0.973816,-0.145569
1517145457601357,0.13208,-0.114197,0.973816,-0.145569
1517145457617342,0.132263,-0.114319,0.973755,-0.14563
1517145457640356,0.132507,-0.114441,0.973694,-0.145691
1517145457661379,0.132568,-0.114441,0.973694,-0.14563
1517145457678386,0.132629,-0.114441,0.973694,-0.14563
1517145457700419,0.133057,-0.114807,0.973572,-0.145508
1517145457721425,0.133423,-0.115479,0.973511,-0.145325
1517145457737426,0.133789,-0.115967,0.97345,-0.145081
1517145457760443,0.134033,-0.116089,0.97345,-0.144775
1517145457781512,0.134094,-0.116028,0.97345,-0.14447
1517145457797468,0.134155,-0.115967,0.973511,-0.144226
1517145457820491,0.134216,-0.116028,0.973511,-0.143982
1517145457841501,0.134277,-0.115906,0.973572,-0.143738
