timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1517145106115642,-1,0,0,-5,-1,0,0,-2
1517145106116605,-2,0,0,-1,-1,-1,-1,-3
1517145106116605,-1,-2,-2,5,0,0,-1,-1
1517145106138672,-1,-3,-1,0,-1,0,0,-1
1517145106138672,-2,-3,-2,-6,-1,0,-1,1
1517145106139621,-1,1,0,1,-2,0,-1,-3
1517145106139621,0,0,0,0,0,-1,-2,-2
1517145106161688,-2,0,-2,-3,0,-2,-1,2
1517145106161688,-1,-5,-1,-3,0,0,-1,-2
1517145106162653,-1,-3,1,4,-1,-2,-1,-2
1517145106162653,-1,0,-1,-3,-1,-1,-1,1
1517145106175643,0,0,-2,-3,-2,-2,0,0
1517145106175643,0,0,0,-2,-1,0,-1,-1
1517145106176645,-1,-2,-1,5,1,1,1,-1
1517145106176645,-1,-1,-2,-2,-2,-2,0,-4
1517145106198680,-1,-2,-3,-5,0,0,0,-3
1517145106198680,1,2,-1,-1,-1,0,-1,1
1517145106198680,-2,-2,-2,1,0,-1,-1,-1
1517145106198680,0,-2,0,-3,-3,-1,0,0
1517145106221733,-3,-1,0,1,0,-2,0,-1
1517145106221733,0,-1,-1,-2,-1,-2,-2,-1
1517145106222679,-1,-1,-2,1,-1,-1,0,0
1517145106222679,-1,2,-1,-2,1,-2,-1,0
1517145106243729,2,-2,0,-1,0,0,-1,-1
1517145106243729,-2,-1,-1,-3,-1,-1,-1,-1
1517145106244695,0,-2,2,7,0,-1,1,-2
1517145106244695,-1,-2,1,-15,-2,-1,-2,-1
1517145106257724,0,-2,-6,1,0,-1,0,-1
1517145106257724,1,0,1,1,1,-1,-1,-2
1517145106258702,-1,-1,-2,-4,-2,0,-2,0
1517145106258702,-3,1,2,13,1,1,-1,0
